Testing SD card write operations: 1970-01-01 02:00:04
2022-09-16 17:15:34: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-55}
2022-09-16 17:15:34: {'ssid':'T142', 'bssid':'aee1b2115abe90312b6a74852b2dc8a0acff80f28cf4555306eee576', 'sec':3, 'channel':6, 'rssi':-58}
2022-09-16 17:15:34: {'ssid':'T141', 'bssid':'c5fd90378f307c7128f1df81b346707785130dd6eaf99f129bfba4cc', 'sec':3, 'channel':11, 'rssi':-63}
2022-09-16 17:15:34: {'ssid':'T144', 'bssid':'c20379ef96f7b5c896a16e1a987a79d2f0bbae54f028c30dda846f6c', 'sec':3, 'channel':6, 'rssi':-85}
2022-09-16 17:15:36: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-54}
2022-09-16 17:15:36: {'ssid':'T141', 'bssid':'c5fd90378f307c7128f1df81b346707785130dd6eaf99f129bfba4cc', 'sec':3, 'channel':11, 'rssi':-61}
2022-09-16 17:15:36: {'ssid':'T142', 'bssid':'aee1b2115abe90312b6a74852b2dc8a0acff80f28cf4555306eee576', 'sec':3, 'channel':6, 'rssi':-63}
2022-09-16 17:15:36: {'ssid':'T147', 'bssid':'3d9aadf5f15ad4ce9868322eeeb6d08ee87feaa05035b0cb338c389f', 'sec':4, 'channel':6, 'rssi':-81}
2022-09-16 17:15:36: {'ssid':'T146', 'bssid':'5432f43d6f985b9e2222892de84a41e7f3441dd0dcb421a5ffdbd588', 'sec':3, 'channel':2, 'rssi':-89}
2022-09-16 17:15:37: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-54}
2022-09-16 17:15:37: {'ssid':'T142', 'bssid':'aee1b2115abe90312b6a74852b2dc8a0acff80f28cf4555306eee576', 'sec':3, 'channel':6, 'rssi':-61}
2022-09-16 17:15:37: {'ssid':'T141', 'bssid':'c5fd90378f307c7128f1df81b346707785130dd6eaf99f129bfba4cc', 'sec':3, 'channel':11, 'rssi':-61}
2022-09-16 17:15:37: {'ssid':'T147', 'bssid':'3d9aadf5f15ad4ce9868322eeeb6d08ee87feaa05035b0cb338c389f', 'sec':4, 'channel':6, 'rssi':-86}
2022-09-16 17:15:39: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-54}
2022-09-16 17:15:39: {'ssid':'T141', 'bssid':'c5fd90378f307c7128f1df81b346707785130dd6eaf99f129bfba4cc', 'sec':3, 'channel':11, 'rssi':-63}
2022-09-16 17:15:39: {'ssid':'T146', 'bssid':'5432f43d6f985b9e2222892de84a41e7f3441dd0dcb421a5ffdbd588', 'sec':3, 'channel':2, 'rssi':-88}
2022-09-16 17:15:41: {'ssid':'T143', 'bssid':'3f5ec3b59b81cf389c81dcbecd5e6649cc071990148704e774a1d713', 'sec':3, 'channel':6, 'rssi':-46}
2022-09-16 17:15:41: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-54}
2022-09-16 17:15:41: {'ssid':'T142', 'bssid':'aee1b2115abe90312b6a74852b2dc8a0acff80f28cf4555306eee576', 'sec':3, 'channel':6, 'rssi':-62}
