Testing SD card write operations: 2022-07-02 10:05:50
2022-07-02 10:06:18: {'ssid':'H511', 'bssid':'20df1e8cab895133cb9ae94d2ecddfa4f274cd98425f9b09c6be1bd0', 'sec':4, 'channel':6, 'rssi':-86}
2022-07-02 10:06:18: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-86}
2022-07-02 10:06:18: {'ssid':'H57', 'bssid':'c3c9d7dee6c1ead4f52ad3da44a3980d3f6276594967ef4b75811042', 'sec':5, 'channel':11, 'rssi':-87}
2022-07-02 10:06:18: {'ssid':'H516', 'bssid':'c9756963a945594ad3e0f39f989d4119b531a0c06d8498015060242e', 'sec':3, 'channel':11, 'rssi':-90}
2022-07-02 10:06:18: {'ssid':'H58', 'bssid':'e839c7ca6f2b71b79060ffe35d027158faee483a38d0a6b2db6e1d23', 'sec':3, 'channel':11, 'rssi':-92}
2022-07-02 10:06:18: {'ssid':'H59', 'bssid':'10aec02c37e216a1505aaca7b1cbeda05433dbae315c986195649a67', 'sec':3, 'channel':1, 'rssi':-93}
2022-07-02 10:06:20: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-65}
2022-07-02 10:06:20: {'ssid':'H52', 'bssid':'e957d228f47c85c2e835b0a7a66b558a1913bf1530181db392c3b749', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-02 10:06:20: {'ssid':'H51', 'bssid':'d9eff8353e70886d6a28e3b12b72fc8cec84afd65275c486ef478b8d', 'sec':4, 'channel':1, 'rssi':-81}
2022-07-02 10:06:20: {'ssid':'H55', 'bssid':'93abb5f51e59c643bd0e60fd1b875399b86d2649374799808a8626e8', 'sec':4, 'channel':11, 'rssi':-82}
2022-07-02 10:06:20: {'ssid':'H56', 'bssid':'a0f38f4211b65388a4970022c672023c1256a1c2f94523906f119961', 'sec':0, 'channel':11, 'rssi':-83}
2022-07-02 10:06:20: {'ssid':'H54', 'bssid':'8e078f7ace52048b37f9383d953612c44ba07b7659d41f49ef099ce2', 'sec':5, 'channel':11, 'rssi':-86}
2022-07-02 10:06:20: {'ssid':'H58', 'bssid':'e839c7ca6f2b71b79060ffe35d027158faee483a38d0a6b2db6e1d23', 'sec':3, 'channel':11, 'rssi':-92}
2022-07-02 10:06:22: {'ssid':'H50', 'bssid':'6c71493c4f743db266e83f56e262690d0048cffe2778e1cf31ac57a2', 'sec':3, 'channel':6, 'rssi':-61}
