Testing SD card write operations: 2022-06-27 12:55:01
2022-06-27 12:55:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '83c36c623a35654e6df00ba91a1c323de1b0a4d6867e3652b1873c81073ae647', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-27 12:55:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fd6ce3aca87615e8a5e9cf5eb71decd0cc5afeb93c03be301715a740274b9f3', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:55:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fd6ce3aca87615e8a5e9cf5eb71decd0cc5afeb93c03be301715a740274b9f3', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:55:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e296f68e85fe4c5c91e3083afd72173697bb666b519aa070fc0ca7a441b3c7a2', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f82c4ef2952f79b25f580f0fecffb0ebc7deb887001ff5258097b638500d1f15', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-27 12:55:36: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '6a734eed8f99bc1bc54df7750e6fc81fad3fb1346af6ca118114007f8ac3874e', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f82c4ef2952f79b25f580f0fecffb0ebc7deb887001ff5258097b638500d1f15', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-27 12:55:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:38: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '6a734eed8f99bc1bc54df7750e6fc81fad3fb1346af6ca118114007f8ac3874e', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:40: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '6a734eed8f99bc1bc54df7750e6fc81fad3fb1346af6ca118114007f8ac3874e', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c9bee2f1754dcc6715a54937958dbbc8886af6507aeb5643de8efe6f8f6fbfe', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:55:42: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '6a734eed8f99bc1bc54df7750e6fc81fad3fb1346af6ca118114007f8ac3874e', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:42: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '6a734eed8f99bc1bc54df7750e6fc81fad3fb1346af6ca118114007f8ac3874e', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fd6ce3aca87615e8a5e9cf5eb71decd0cc5afeb93c03be301715a740274b9f3', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:55:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fd6ce3aca87615e8a5e9cf5eb71decd0cc5afeb93c03be301715a740274b9f3', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:55:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '83c36c623a35654e6df00ba91a1c323de1b0a4d6867e3652b1873c81073ae647', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-27 12:55:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fd6ce3aca87615e8a5e9cf5eb71decd0cc5afeb93c03be301715a740274b9f3', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
