Testing SD card write operations: 2022-09-20 17:01:40
2022-09-20 17:02:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0322a3f2f16c64abefad73d98812d7094d99c6f1f289b28f05347c73', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 17:02:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d3132f33787498a3212d98479073a00c640fd6bf774a1cecf63b1c5', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d3132f33787498a3212d98479073a00c640fd6bf774a1cecf63b1c5', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0322a3f2f16c64abefad73d98812d7094d99c6f1f289b28f05347c73', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 17:02:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c40dc5642fa4ef16cbdb7a3a0922a50e79b58402c36ddcee6272951', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 17:02:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
