Testing SD card write operations 120: 2023-01-27 08:06:59
2023-01-27 08:07:12: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-84}
2023-01-27 08:07:12: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-86}
2023-01-27 08:07:12: {'ssid':'H131', 'bssid':'5af9e3a1a5e8d5f72819512558ce31c4b3e402a20f55a20a69c9e79f9242ea36', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:12: {'ssid':'H131', 'bssid':'75cc9dd9f55f9f0b6513f45630b01eec256c0d7cb7a2f44b077fb52f97ba068f', 'sec':0, 'channel':1, 'rssi':-89}
2023-01-27 08:07:12: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-89}
2023-01-27 08:07:12: {'ssid':'H131', 'bssid':'89cdb2dc83189de60a7715af8cc786fcf6cf04598838b4644961a649dffff582', 'sec':0, 'channel':6, 'rssi':-92}
2023-01-27 08:07:16: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-50}
2023-01-27 08:07:16: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-70}
2023-01-27 08:07:16: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-80}
2023-01-27 08:07:16: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-80}
2023-01-27 08:07:16: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-84}
2023-01-27 08:07:16: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-87}
2023-01-27 08:07:16: {'ssid':'H131', 'bssid':'5af9e3a1a5e8d5f72819512558ce31c4b3e402a20f55a20a69c9e79f9242ea36', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:16: {'ssid':'H131', 'bssid':'75cc9dd9f55f9f0b6513f45630b01eec256c0d7cb7a2f44b077fb52f97ba068f', 'sec':0, 'channel':1, 'rssi':-89}
2023-01-27 08:07:16: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-91}
2023-01-27 08:07:16: {'ssid':'H131', 'bssid':'89cdb2dc83189de60a7715af8cc786fcf6cf04598838b4644961a649dffff582', 'sec':0, 'channel':6, 'rssi':-92}
2023-01-27 08:07:20: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-51}
2023-01-27 08:07:20: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-70}
2023-01-27 08:07:20: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-79}
2023-01-27 08:07:20: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-80}
2023-01-27 08:07:20: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-83}
2023-01-27 08:07:20: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-86}
2023-01-27 08:07:20: {'ssid':'H131', 'bssid':'c66f8aa2e416c82f782f44108e432bb7a18d5fd33f109e7fad098f703f7a56f3', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:20: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-90}
2023-01-27 08:07:20: {'ssid':'H131', 'bssid':'89cdb2dc83189de60a7715af8cc786fcf6cf04598838b4644961a649dffff582', 'sec':0, 'channel':6, 'rssi':-91}
2023-01-27 08:07:20: {'ssid':'H132', 'bssid':'f75671993b8e8621e2610d21875ef47b5700daf8b8ab54dc31ad1dbf55e8d7b5', 'sec':3, 'channel':6, 'rssi':-92}
2023-01-27 08:07:24: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-50}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-68}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-79}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-81}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-84}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-87}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'75cc9dd9f55f9f0b6513f45630b01eec256c0d7cb7a2f44b077fb52f97ba068f', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'c66f8aa2e416c82f782f44108e432bb7a18d5fd33f109e7fad098f703f7a56f3', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'5af9e3a1a5e8d5f72819512558ce31c4b3e402a20f55a20a69c9e79f9242ea36', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-90}
2023-01-27 08:07:24: {'ssid':'H131', 'bssid':'89cdb2dc83189de60a7715af8cc786fcf6cf04598838b4644961a649dffff582', 'sec':0, 'channel':6, 'rssi':-92}
2023-01-27 08:07:28: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-51}
2023-01-27 08:07:28: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-71}
2023-01-27 08:07:28: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-79}
2023-01-27 08:07:28: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-80}
2023-01-27 08:07:28: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-84}
2023-01-27 08:07:28: {'ssid':'H131', 'bssid':'5af9e3a1a5e8d5f72819512558ce31c4b3e402a20f55a20a69c9e79f9242ea36', 'sec':0, 'channel':1, 'rssi':-87}
2023-01-27 08:07:28: {'ssid':'H131', 'bssid':'c66f8aa2e416c82f782f44108e432bb7a18d5fd33f109e7fad098f703f7a56f3', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:28: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-88}
2023-01-27 08:07:28: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-89}
2023-01-27 08:07:28: {'ssid':'H131', 'bssid':'89cdb2dc83189de60a7715af8cc786fcf6cf04598838b4644961a649dffff582', 'sec':0, 'channel':6, 'rssi':-90}
2023-01-27 08:07:32: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-55}
2023-01-27 08:07:32: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-70}
2023-01-27 08:07:32: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-80}
2023-01-27 08:07:32: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-80}
2023-01-27 08:07:32: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-84}
2023-01-27 08:07:32: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-87}
2023-01-27 08:07:32: {'ssid':'H131', 'bssid':'c66f8aa2e416c82f782f44108e432bb7a18d5fd33f109e7fad098f703f7a56f3', 'sec':0, 'channel':1, 'rssi':-89}
2023-01-27 08:07:32: {'ssid':'H131', 'bssid':'89cdb2dc83189de60a7715af8cc786fcf6cf04598838b4644961a649dffff582', 'sec':0, 'channel':6, 'rssi':-89}
2023-01-27 08:07:32: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-90}
2023-01-27 08:07:36: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-51}
2023-01-27 08:07:36: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-68}
2023-01-27 08:07:36: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-79}
2023-01-27 08:07:36: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-80}
2023-01-27 08:07:36: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-84}
2023-01-27 08:07:36: {'ssid':'H131', 'bssid':'5af9e3a1a5e8d5f72819512558ce31c4b3e402a20f55a20a69c9e79f9242ea36', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:36: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-88}
2023-01-27 08:07:36: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-89}
2023-01-27 08:07:36: {'ssid':'H131', 'bssid':'75cc9dd9f55f9f0b6513f45630b01eec256c0d7cb7a2f44b077fb52f97ba068f', 'sec':0, 'channel':1, 'rssi':-91}
2023-01-27 08:07:36: {'ssid':'H133', 'bssid':'d6aea698592df01397c351f1d1059ef5fccf97b1a677bce560b747d04175e098', 'sec':4, 'channel':6, 'rssi':-92}
2023-01-27 08:07:36: {'ssid':'H131', 'bssid':'89cdb2dc83189de60a7715af8cc786fcf6cf04598838b4644961a649dffff582', 'sec':0, 'channel':6, 'rssi':-93}
2023-01-27 08:07:40: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-52}
2023-01-27 08:07:40: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-69}
2023-01-27 08:07:40: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-80}
2023-01-27 08:07:40: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-80}
2023-01-27 08:07:40: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-84}
2023-01-27 08:07:40: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-87}
2023-01-27 08:07:40: {'ssid':'H131', 'bssid':'5af9e3a1a5e8d5f72819512558ce31c4b3e402a20f55a20a69c9e79f9242ea36', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:40: {'ssid':'H131', 'bssid':'c66f8aa2e416c82f782f44108e432bb7a18d5fd33f109e7fad098f703f7a56f3', 'sec':0, 'channel':1, 'rssi':-89}
2023-01-27 08:07:40: {'ssid':'H132', 'bssid':'f75671993b8e8621e2610d21875ef47b5700daf8b8ab54dc31ad1dbf55e8d7b5', 'sec':3, 'channel':6, 'rssi':-89}
2023-01-27 08:07:40: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-89}
2023-01-27 08:07:40: {'ssid':'H131', 'bssid':'89cdb2dc83189de60a7715af8cc786fcf6cf04598838b4644961a649dffff582', 'sec':0, 'channel':6, 'rssi':-90}
2023-01-27 08:07:44: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-52}
2023-01-27 08:07:44: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-70}
2023-01-27 08:07:44: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-79}
2023-01-27 08:07:44: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-80}
2023-01-27 08:07:44: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-84}
2023-01-27 08:07:44: {'ssid':'H131', 'bssid':'5af9e3a1a5e8d5f72819512558ce31c4b3e402a20f55a20a69c9e79f9242ea36', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:44: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-88}
2023-01-27 08:07:44: {'ssid':'H131', 'bssid':'c66f8aa2e416c82f782f44108e432bb7a18d5fd33f109e7fad098f703f7a56f3', 'sec':0, 'channel':1, 'rssi':-89}
2023-01-27 08:07:44: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-89}
2023-01-27 08:07:44: {'ssid':'H131', 'bssid':'75cc9dd9f55f9f0b6513f45630b01eec256c0d7cb7a2f44b077fb52f97ba068f', 'sec':0, 'channel':1, 'rssi':-90}
2023-01-27 08:07:44: {'ssid':'H132', 'bssid':'f75671993b8e8621e2610d21875ef47b5700daf8b8ab54dc31ad1dbf55e8d7b5', 'sec':3, 'channel':6, 'rssi':-95}
2023-01-27 08:07:48: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-52}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-70}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-79}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-81}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-85}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'5af9e3a1a5e8d5f72819512558ce31c4b3e402a20f55a20a69c9e79f9242ea36', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-88}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-89}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'75cc9dd9f55f9f0b6513f45630b01eec256c0d7cb7a2f44b077fb52f97ba068f', 'sec':0, 'channel':1, 'rssi':-90}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'c66f8aa2e416c82f782f44108e432bb7a18d5fd33f109e7fad098f703f7a56f3', 'sec':0, 'channel':1, 'rssi':-90}
2023-01-27 08:07:48: {'ssid':'H131', 'bssid':'89cdb2dc83189de60a7715af8cc786fcf6cf04598838b4644961a649dffff582', 'sec':0, 'channel':6, 'rssi':-93}
2023-01-27 08:07:52: {'ssid':'H130', 'bssid':'e2f92e4ae41a7a369bd2596c6ee07c813773d6fd69f1f946300037461b9352cf', 'sec':3, 'channel':6, 'rssi':-54}
2023-01-27 08:07:52: {'ssid':'H131', 'bssid':'0e539bc45aa8f8ab550af445d667b055abc37f7a5cac8ef6190f3e0fb6ad45bd', 'sec':0, 'channel':6, 'rssi':-70}
2023-01-27 08:07:52: {'ssid':'H131', 'bssid':'b93ececf5dd1591ba36a1e968fc2dfa8f8eb73cdfa5fa19e32f16ea992871a89', 'sec':0, 'channel':1, 'rssi':-80}
2023-01-27 08:07:52: {'ssid':'H131', 'bssid':'8648e3c8c46294c3d6df08847f2f5db39b3b9a1accd39f575355fba93bb913ce', 'sec':0, 'channel':6, 'rssi':-80}
2023-01-27 08:07:52: {'ssid':'H131', 'bssid':'9b18ecc24c05c8a21ad3af270ae3d1b4a74a52209a1dd363fa50e471be9bac1d', 'sec':0, 'channel':6, 'rssi':-84}
2023-01-27 08:07:52: {'ssid':'H131', 'bssid':'c66f8aa2e416c82f782f44108e432bb7a18d5fd33f109e7fad098f703f7a56f3', 'sec':0, 'channel':1, 'rssi':-88}
2023-01-27 08:07:52: {'ssid':'H131', 'bssid':'053349e5547c8dd2c4b43d00d7d627ba041c56db2d760cbaeb3898d43dd58bd5', 'sec':0, 'channel':11, 'rssi':-88}
2023-01-27 08:07:52: {'ssid':'H131', 'bssid':'246300abb9e9c954acb4e5af383a705903ae53b634f36cf6832943e92b5543f0', 'sec':0, 'channel':11, 'rssi':-88}
2023-01-27 08:07:52: {'ssid':'H131', 'bssid':'5af9e3a1a5e8d5f72819512558ce31c4b3e402a20f55a20a69c9e79f9242ea36', 'sec':0, 'channel':1, 'rssi':-89}
2023-01-27 08:07:52: {'ssid':'H131', 'bssid':'75cc9dd9f55f9f0b6513f45630b01eec256c0d7cb7a2f44b077fb52f97ba068f', 'sec':0, 'channel':1, 'rssi':-90}
