Testing SD card write operations: 2022-07-07 19:08:09
2022-07-07 19:08:42: {'ssid':'Numericable-e05c', 'bssid':b'\x007\xb7R\xe0b', 'sec':4, 'channel':6, 'rssi':-65}
2022-07-07 19:08:42: {'ssid':'NUMERICABLE-F7F4', 'bssid':b'\x10\r\x7fs\xf7\xf8', 'sec':4, 'channel':4, 'rssi':-72}
2022-07-07 19:08:42: {'ssid':'NUMERICABLE-7A58', 'bssid':b'\xa4+\x8c\x9ez\\', 'sec':4, 'channel':1, 'rssi':-73}
2022-07-07 19:08:42: {'ssid':'NUMERICABLE-3AC3', 'bssid':b'\x9c\xd3m\xb1:\xc7', 'sec':4, 'channel':1, 'rssi':-73}
2022-07-07 19:08:42: {'ssid':'Numericable-6ecb', 'bssid':b'\xa0\x1b}}n\xd1', 'sec':4, 'channel':6, 'rssi':-89}
2022-07-07 19:08:42: {'ssid':'NUMERICABLE-8FE7', 'bssid':b' \x0c\xc8\x03\x8f\xeb', 'sec':4, 'channel':1, 'rssi':-93}
2022-07-07 19:08:44: {'ssid':'NUMERICABLE-28D0', 'bssid':b'\x04\xa1Q\xd9{\xd4', 'sec':4, 'channel':1, 'rssi':-48}
2022-07-07 19:08:44: {'ssid':'iPhone', 'bssid':b'\x8aGir4\xb3', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-07 19:08:44: {'ssid':'Numericable-e05c', 'bssid':b'\x007\xb7R\xe0b', 'sec':4, 'channel':6, 'rssi':-64}
2022-07-07 19:08:44: {'ssid':'NUMERICABLE-8005', 'bssid':b'\x04\xa1Q\xd9\x80\t', 'sec':4, 'channel':1, 'rssi':-72}
2022-07-07 19:08:44: {'ssid':'NUMERICABLE-7A58', 'bssid':b'\xa4+\x8c\x9ez\\', 'sec':4, 'channel':1, 'rssi':-73}
2022-07-07 19:08:44: {'ssid':'NUMERICABLE-3AC3', 'bssid':b'\x9c\xd3m\xb1:\xc7', 'sec':4, 'channel':1, 'rssi':-74}
2022-07-07 19:08:44: {'ssid':'NUMERICABLE-DED6', 'bssid':b'\x10\r\x7fs\xde\xda', 'sec':4, 'channel':1, 'rssi':-80}
2022-07-07 19:08:44: {'ssid':'NUMERICABLE-F147', 'bssid':b' \x0c\xc8 \xf1K', 'sec':4, 'channel':1, 'rssi':-92}
2022-07-07 19:08:46: {'ssid':'iPhone', 'bssid':b'\x8aGir4\xb3', 'sec':3, 'channel':6, 'rssi':-59}
2022-07-07 19:08:46: {'ssid':'NUMERICABLE-F7F4', 'bssid':b'\x10\r\x7fs\xf7\xf8', 'sec':4, 'channel':4, 'rssi':-72}
2022-07-07 19:08:46: {'ssid':'NUMERICABLE-8005', 'bssid':b'\x04\xa1Q\xd9\x80\t', 'sec':4, 'channel':1, 'rssi':-76}
2022-07-07 19:08:48: {'ssid':'NUMERICABLE-28D0', 'bssid':b'\x04\xa1Q\xd9{\xd4', 'sec':4, 'channel':1, 'rssi':-48}
2022-07-07 19:08:48: {'ssid':'iPhone', 'bssid':b'\x8aGir4\xb3', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-07 19:08:48: {'ssid':'Numericable-e05c', 'bssid':b'\x007\xb7R\xe0b', 'sec':4, 'channel':6, 'rssi':-64}
2022-07-07 19:08:48: {'ssid':'NUMERICABLE-F7F4', 'bssid':b'\x10\r\x7fs\xf7\xf8', 'sec':4, 'channel':4, 'rssi':-73}
2022-07-07 19:08:48: {'ssid':'NUMERICABLE-8005', 'bssid':b'\x04\xa1Q\xd9\x80\t', 'sec':4, 'channel':1, 'rssi':-74}
2022-07-07 19:08:48: {'ssid':'NUMERICABLE-3AC3', 'bssid':b'\x9c\xd3m\xb1:\xc7', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-07 19:08:48: {'ssid':'NUMERICABLE-DED6', 'bssid':b'\x10\r\x7fs\xde\xda', 'sec':4, 'channel':1, 'rssi':-83}
2022-07-07 19:08:50: {'ssid':'NUMERICABLE-28D0', 'bssid':b'\x04\xa1Q\xd9{\xd4', 'sec':4, 'channel':1, 'rssi':-48}
2022-07-07 19:08:50: {'ssid':'iPhone', 'bssid':b'\x8aGir4\xb3', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-07 19:08:50: {'ssid':'NUMERICABLE-F7F4', 'bssid':b'\x10\r\x7fs\xf7\xf8', 'sec':4, 'channel':4, 'rssi':-70}
2022-07-07 19:08:50: {'ssid':'NUMERICABLE-7A58', 'bssid':b'\xa4+\x8c\x9ez\\', 'sec':4, 'channel':1, 'rssi':-74}
2022-07-07 19:08:50: {'ssid':'NUMERICABLE-8005', 'bssid':b'\x04\xa1Q\xd9\x80\t', 'sec':4, 'channel':1, 'rssi':-75}
2022-07-07 19:08:50: {'ssid':'NUMERICABLE-3AC3', 'bssid':b'\x9c\xd3m\xb1:\xc7', 'sec':4, 'channel':1, 'rssi':-76}
2022-07-07 19:08:50: {'ssid':'Numericable-6ecb', 'bssid':b'\xa0\x1b}}n\xd1', 'sec':4, 'channel':6, 'rssi':-83}
2022-07-07 19:08:50: {'ssid':'NUMERICABLE-8FE7', 'bssid':b' \x0c\xc8\x03\x8f\xeb', 'sec':4, 'channel':1, 'rssi':-92}
2022-07-07 19:08:52: {'ssid':'NUMERICABLE-28D0', 'bssid':b'\x04\xa1Q\xd9{\xd4', 'sec':4, 'channel':1, 'rssi':-48}
2022-07-07 19:08:52: {'ssid':'iPhone', 'bssid':b'\x8aGir4\xb3', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-07 19:08:52: {'ssid':'Numericable-e05c', 'bssid':b'\x007\xb7R\xe0b', 'sec':4, 'channel':6, 'rssi':-66}
2022-07-07 19:08:52: {'ssid':'NUMERICABLE-F7F4', 'bssid':b'\x10\r\x7fs\xf7\xf8', 'sec':4, 'channel':4, 'rssi':-73}
